area_type,location,bedrm,total_sqft,bath,balcony,price
Built-up  Area,Jalahalli West,2,782,2,2,55.68
Super built-up  Area,Devanahalli,2,1260,2,2,66.78
Super built-up  Area,Lakshmiamma Garden,3,1800,3,3,120
Super built-up  Area,Byatarayanapura,3,1413,2,2,75
Super built-up  Area,Whitefield,2,1116,2,1,51.91
Super built-up  Area,Electronic City,3,1530,2,1,45.9
Built-up  Area,Ramamurthy Nagar,4,3700,4,1,225
Built-up  Area,Sarjapur  Road,3,2497,3,2,140
Super built-up  Area,Kengeri,3,1540,2,3,64
Super built-up  Area,Thanisandra,3,1436,3,1,74.75
Super built-up  Area,Malleshwaram,2,1100,2,2,75
Plot  Area,Hennur Road,2,276,3,3,23
Super built-up  Area,Thanisandra,3,1427,3,2,120
Super built-up  Area,Akshaya Nagar,3,2061,3,1,200
Super built-up  Area,Hebbal,4,3067,4,0,477
Built-up  Area,Shampura,4,2650,4,2,150
Super built-up  Area,Devanahalli,3,1282,2,2,68.52
Built-up  Area,Kadugodi,2,1050,2,1,34
Built-up  Area,LB Shastri Nagar,3,1600,3,2,65
Super built-up  Area,Vajarahalli,2,945,2,1,54
Super built-up  Area,Hormavu,2,1500,2,1,78
Plot  Area,Vishwapriya Layout,7,950,7,0,115
Built-up  Area,Peenya,3,1870,3,3,110
Plot  Area,Sarjapur,3,1600,3,1,75
Super built-up  Area,Electronic City,2,880,1,1,16.5
Plot  Area,Ramaswamy Palya - Kammanahalli Main Road,4,1200,4,0,210
Super built-up  Area,Kudlu Gate,3,1535,3,2,83
Built-up  Area,Kanakpura Road,2,950,2,1,57
Super built-up  Area,Devanahalli,2,1360,2,1,65
Super built-up  Area,8th Phase JP Nagar,2,1042,2,0,54.005
Super built-up  Area,Bommasandra Industrial Area,3,1280,3,1,50.4
Super built-up  Area,Chandra Layout,3,1260,2,2,85.05
Built-up  Area,Hennur Road,8,5000,8,,250
Super built-up  Area,Yelahanka,5,3050,5,1,213
Super built-up  Area,Kasavanhalli,3,1563.05,3,1,105
Super built-up  Area,ISRO Layout,2,1000,2,1,60
Super built-up  Area,Anandapura,2,1167,2,1,43.76
Super built-up  Area,Vishveshwarya Layout,7,4000,7,2,225
Super built-up  Area,Kothanur,3,1828,3,,110
Super built-up  Area,Kengeri Satellite Town,2,890,2,1,35
Super built-up  Area,Basavanapura,3,1612,3,3,46.74
Plot  Area,Dinnur,6,1034,5,,185
Super built-up  Area,Mysore Road,3,1710,4,2,91.31
Super built-up  Area,Kannamangala,2,957,2,1,58
Super built-up  Area, Devarachikkanahalli,3,1250,2,3,44
Super built-up  Area,Sanjeevini Nagar,3,2795,4,,235
Super built-up  Area,Hulimavu,2,1125,2,2,50
Super built-up  Area,Electronic City Phase II,2,1020,2,1,30.6
Super built-up  Area,Kalena Agrahara,2,1200,2,2,50
Super built-up  Area,Thanisandra,3,1735,3,3,135
Super built-up  Area,Thanisandra,3,2050,3,1,145
Plot  Area,Mahalakshmi Layout,4,3750,4,0,760
Built-up  Area,Yarandahalli,3,1350,2,3,48
Super built-up  Area,Hosa Road,2,1063,2,1,32
Super built-up  Area,Keshava Nagar,3,1904,3,1,150
Built-up  Area,Whitefield,4,4200,4,2,420
Super built-up  Area,RMV Extension,3,2000,3,1,175
Super built-up  Area,Sarjapur,2,1145,2,0,43.49
Super built-up  Area,Tejaswini Nagar,3,1425,2,2,75
Super built-up  Area,Electronic City,3,1500,2,1,64.5
Built-up  Area,Electronic City,2,1060,2,1,60
Built-up  Area,Jai Bheema Nagar,3,1470,2,2,70
Super built-up  Area,Kothnur Narayanapura,6,1300,6,0,99
Super built-up  Area,Attibele,1,450,1,1,11
Super built-up  Area,Electronic City,2,1152,2,1,64.5
Super built-up  Area,Electronic City,3,1350,2,1,56
Super built-up  Area,CV Raman Nagar,3,1550,3,3,65
Plot  Area,CHIKKATIRUPATHI,3,1500,3,2,100
Plot  Area,Kumaraswami Layout,5,600,3,2,85
Plot  Area,Nagavara,1,400,1,0,14
Super built-up  Area,Malleshwaram,1,705,1,2,67
Built-up  Area,Electronic City,2,770,1,1,36
Super built-up  Area,Hulimavu,2,1242,2,3,51
Super built-up  Area,Hebbal Kempapura,3,1700,3,2,155
Super built-up  Area,Thanisandra,3,2144,3,2,145
Super built-up  Area,Vijayanagar,3,1704,3,2,110
Super built-up  Area,Electronic City,2,1070,2,1,52
Plot  Area,8th block Koramangala,3,1846,3,2,300
Super built-up  Area,Jakkuru Layout,2,1340,2,2,55.7
Built-up  Area,Electronic City,2,1025,2,1,46
Super built-up  Area,KR Puram,2,1015,2,0,56.8
Super built-up  Area,Marathahalli,2,1200,2,2,52
Built-up  Area,Kanakpura Road,4,2250,4,1,110
Super built-up  Area,Pattandur Agrahara,3,1550,2,3,80
Plot  Area,Bellandur,4,1200,5,,325
Plot  Area,Ejipura,7,1800,7,1,250
Super built-up  Area,Marathahalli,2,1200,2,2,60
Super built-up  Area,Yelahanka,2,1327,2,2,98
Super built-up  Area,Kothanur,2,1186,2,2,58
Built-up  Area,MS Pallya,3,1783,3,1,115
Super built-up  Area,HSR Layout,3,1400,3,2,56
Super built-up  Area,Nagasandra,2,980,2,1,48
Super built-up  Area,EPIP Zone,2,1285,2,2,82
Super built-up  Area,Langford Town,3,912,2,1,70
Built-up  Area,Whitefield,2,1225,2,2,47.6
Super built-up  Area,Whitefield,2,1075,2,1,53
Built-up  Area,Kadugodi,3,1260,2,2,54
Super built-up  Area,Yelahanka,3,1282,2,2,48.7
Super built-up  Area,Kogilu,3,1909,3,2,88
Super built-up  Area,Panathur,2,1359,2,1,87
Built-up  Area,Nagondanahalli,2,1207,2,2,43.5
Plot  Area,Padmanabhanagar,4,1736,6,0,190
Super built-up  Area,1st Block Jayanagar,4,2850,4,1,428
Super built-up  Area,Kammasandra,3,1595,3,2,65
Built-up  Area,"Off Sarjapur Road, ",3,1798,3,2,89
Super built-up  Area,Electronics City Phase 1,3,1475,3,2,78.29
Super built-up  Area,Tala Cauvery Layout,3,1580,3,3,100
Super built-up  Area,Dasarahalli,2,1295,2,1,65
Built-up  Area,Magadi Road,6,3600,6,0,141
Super built-up  Area,Electronic City,1,589,1,1,27
Super built-up  Area,Ngef Layout,3,1415,3,3,78
Super built-up  Area,Sarjapur  Road,3,1787,3,2,98.29
Super built-up  Area,Sarjapur  Road,3,1787,3,2,125
Super built-up  Area,Koramangala,3,1475,2,3,90
Built-up  Area,"Lakshminarayanapura, Electronic City Phase 2",4,2000,4,1,75.5
Super built-up  Area,Sarjapur  Road,2,984,2,1,44.28
Super built-up  Area,Devanahalli,3,1520,,,74.82
Super built-up  Area,Muthurayya Swamy Layout,3,2405,4,2,260
Built-up  Area,7th Phase JP Nagar,2,1080,2,2,72
Plot  Area,Shantiniketan Layout,2,1500,2,1,115
Super built-up  Area,Hebbal,3,1900,3,2,119
Super built-up  Area,Dommasandra,2,805,2,1,22.14
Super built-up  Area,Budigere,2,1153,2,2,56.4
Super built-up  Area,Dodda Nekkundi Extension,2,1148,2,2,60
Super built-up  Area,Mylasandra,2,1110,2,2,55
Built-up  Area,Electronic City,2,1100,2,2,42
Super built-up  Area,Kalyan nagar,2,1290,2,2,110
Super built-up  Area,Dr Shivarama Karantha Nagar,3,1500,2,1,65
Super built-up  Area,Bank Of Baroda Colony,2,1080,2,2,39
Super built-up  Area,Vijayanagar,3,1933,3,1,129
Built-up  Area,Ramamurthy Nagar,5,3500,5,2,150
Built-up  Area,Kullappa Colony,2,1060,2,2,60
Super built-up  Area,Chandapura,1,645,1,1,16.45
Plot  Area,Mukkutam Nagar,8,2600,8,2,180
Super built-up  Area,Chandapura,1,645,1,1,16.45
Super built-up  Area,Ashwath Nagar,3,1644,3,3,84
Super built-up  Area,Ncpr Industrial Layout,2,1285,2,3,72.5
Plot  Area,Electronic City,3,1200,3,1,90
Super built-up  Area,Electronic City,2,910,2,1,40
Super built-up  Area,Kothanur,3,1577,3,1,70
Plot  Area,Meenakunte,3,4050,3,2,280
Super built-up  Area,OMBR Layout,3,2420,3,2,185
Super built-up  Area,Chandapura,2,800,1,1,20
Built-up  Area,Anand Nagar,2,1060,2,2,55
Super built-up  Area,7th Phase JP Nagar,2,1270,2,2,93
Super built-up  Area,Shree Ananth Nagar Layout,2,900,2,2,22.5
Built-up  Area,Kundalahalli Colony,2,1280,2,1,69
Plot  Area,Horamavu Agara,4,1200,2,0,95
Built-up  Area,Sarjapur  Road,2,1025,2,2,36
Super built-up  Area,Electronic City,2,1108,2,1,63
Plot  Area,MCECHS  layout,5,1200,5,,170
Super built-up  Area,Coffee Board Layout,3,3045,3,2,170
Plot  Area,Ambedkar Nagar,4,2900,3,2,300
Super built-up  Area,Vijayanagar,3,1500,3,2,75.5
Super built-up  Area,Raja Rajeshwari Nagar,2,1295,2,2,43.9
Super built-up  Area,Budigere,2,1162,2,1,59.9
Super built-up  Area,Sarjapur  Road,2,1035,2,2,49.2
Built-up  Area,Attibele,4,1600,4,0,52.8
Super built-up  Area,KUDLU MAIN ROAD,3,1464,3,2,46
Super built-up  Area,Hennur Road,3,1866,2,2,61.58
Super built-up  Area,Geleyara Balaga Layout,2,700,1,1,26
Super built-up  Area,Kalena Agrahara,3,1804,3,2,120
Super built-up  Area,Sarjapur,2,913,2,1,32
Super built-up  Area,Talaghattapura,3,1868,3,2,131
Built-up  Area,Kengeri Satellite Town,2,883,2,1,45
Plot  Area,Sundara Nagar,2,900,2,1,110
Super built-up  Area,Kogilu,3,1664,2,3,73.95
Super built-up  Area,Hegde Nagar,3,2026,3,2,132
Super built-up  Area,Balagere,2,1210,2,1,80.9
Plot  Area,Meenakunte,4,4111,4,2,250
Super built-up  Area,Kadugodi,3,1762,3,3,91.45
Super built-up  Area,Jigani,3,1252,3,3,55
Built-up  Area,Gollarapalya Hosahalli,2,861,2,1,34.5
Built-up  Area,7th Phase JP Nagar,3,1420,2,1,100
Plot  Area,Srirampura,6,1450,6,0,250
Built-up  Area,Electronics City Phase 1,3,1490,3,1,78.8
Super built-up  Area,Bisuvanahalli,3,1075,2,1,46
Super built-up  Area,Old Madras Road,3,1425,2,2,94
Built-up  Area,Kalena Agrahara,2,1200,2,1,40
Super built-up  Area,Kaggadasapura,3,1280,2,2,56
Super built-up  Area,Silver Springs Layout,2,1084,2,2,50
Super built-up  Area,Chandapura,2,1015,2,2,25.88
Super built-up  Area,Kanakpura Road,2,1017,2,1,51.25
Super built-up  Area,Haralur Road,2,1027,2,2,44
Super built-up  Area,Electronic City Phase II,2,1069,2,2,45
Super built-up  Area,Hebbal,2,1349,2,1,98.2
Super built-up  Area,9th Phase JP Nagar,2,1005,2,1,50
Super built-up  Area,Jakkur,2,1417,2,3,75
Plot  Area,TC Palaya,3,1475,3,1,98
Carpet  Area,Maruthi Sevanagar,2,950,2,2,47
Super built-up  Area,RMV 2nd Stage,4,2000,4,0,120
Plot  Area,Giri Nagar,3,880,3,1,140
Super built-up  Area,Sarjapur  Road,4,1863,3,2,104
Super built-up  Area,Singasandra,2,1010,2,1,29.5
Super built-up  Area,Kalena Agrahara,3,1425,2,1,70
Super built-up  Area,Vijayanagar,3,1450,3,0,100
Super built-up  Area,Kothanur,3,1847,3,2,105
Super built-up  Area,AECS Layout,2,1100,2,3,45
Super built-up  Area,Kanakpura Road,1,525,1,1,26
Super built-up  Area,Mallasandra,3,1665,3,2,95
Super built-up  Area,Begur,4,1664,4,3,65
Super built-up  Area,JP Nagar,3,1850,3,3,150
Super built-up  Area,Panathur,2,1438,2,3,100
Super built-up  Area,Sunder Ram Shetty Nagar,3,1560,3,3,115
Super built-up  Area,Yelahanka,2,1350,2,1,55.55
Super built-up  Area,Kanakpura Road,3,1550,3,3,67
Super built-up  Area,Malleshpalya,2,1140,2,2,46.5
Plot  Area,Srirampura,5,1200,5,2,180
Super built-up  Area,Kodathi,2,850,2,2,27
Super built-up  Area,Whitefield,2,1280,2,2,75
Built-up  Area,Munnekollal,2,1170,2,2,52
Super built-up  Area,Motappa Layout,2,1113,2,1,51
Super built-up  Area,Hennur Road,2,1385,2,1,83.09
Super built-up  Area,Electronic City,2,1128,2,1,65
Plot  Area,Marathahalli,2,1200,2,2,128
Plot  Area,Akshaya Vana,4,1200,4,3,165
Super built-up  Area,Rajaji Nagar,3,2390,3,2,415
Plot  Area,Giri Nagar,4,2400,4,1,400
Super built-up  Area,Haralur Road,3,1464,3,2,56
Super built-up  Area,Manayata Tech Park,2,1200,2,2,55
Super built-up  Area,Kaval Byrasandra,2,1200,2,2,52
Super built-up  Area,Kaggalipura,3,1150,2,1,55
Built-up  Area,Basavanna Nagar,3,1645,3,2,95
Super built-up  Area,Sarjapur  Road,2,1000,2,1,67
Plot  Area,Haralur Road,4,2650,4,2,198
Super built-up  Area,6th Phase JP Nagar,2,1192,2,2,74
Super built-up  Area,Ulsoor,3,2135,3,2,215
Super built-up  Area,Whitefield,2,1173,2,1,58
Built-up  Area,Uttarahalli,2,1020,2,2,45
Super built-up  Area,Thigalarapalya,4,3122,6,2,230
Super built-up  Area,Somasundara Palya,3,1600,3,3,64
Plot  Area,T.C PALYA,2,1200,2,0,79
Carpet  Area,Muneshwara Nagar,2,1230,2,3,48
Super built-up  Area, Devarachikkanahalli,2,1250,2,2,40
Super built-up  Area,Kalena Agrahara,2,1325,2,2,76
Built-up  Area,7th Phase JP Nagar,3,1850,3,1,150
Super built-up  Area,Kanakpura Road,1,525,,,21.53
Super built-up  Area,Basaveshwara Nagar,2,1200,2,2,65
Plot  Area,Bull Temple Road,3,1350,2,0,140
Super built-up  Area,Bommasandra,3,1260,3,1,49.36
Super built-up  Area,Prashanth Nagar,3,1800,3,0,150
Plot  Area,Suragajakkanahalli,3,11,3,2,74
Built-up  Area,Ardendale,2,1100,2,1,43.25
Super built-up  Area,Harlur,2,1508,2,1,77
Carpet  Area,Sampigehalli,3,1592,3,2,75
Super built-up  Area,Akshaya Nagar,2,1388,2,3,57
Super built-up  Area,Electronic City Phase II,1,630,1,1,28.35
Plot  Area,RMV,3,2000,3,2,365
Super built-up  Area,Banashankari3rd stage bigbazar,3,1762,3,1,125
Super built-up  Area,Bagalur Main Road,2,950,2,2,50
Super built-up  Area,Kodihalli,4,3252,5,3,335
Super built-up  Area,Magadi Road,2,1116,2,1,50
Super built-up  Area,Narayanapura,2,1308,2,2,89.04
Super built-up  Area,MS Pallya,3,1200,3,0,90
Plot  Area,Binny Mills Employees Colony,4,1500,4,2,230
Built-up  Area,Bannerghatta Road,1,500,1,1,18.5
Super built-up  Area,Hennur,2,1075,2,1,52
Super built-up  Area,Chandapura,1,530,1,0,11.66
Built-up  Area,Bellandur,2,1205,2,3,66
Super built-up  Area,5th Phase JP Nagar,2,1075,2,2,60
Built-up  Area,KR Puram,2,930,2,2,39
Super built-up  Area,Balagere,2,1380,2,1,60
Super built-up  Area,Hebbal,4,2483,5,2,212
Built-up  Area,Kodigehaali,2,1166,2,2,55
Super built-up  Area,Bannerghatta Road,2,1050,2,1,65
Super built-up  Area,Gopalapura,3,2023.71,3,2,275
Super built-up  Area,Begur Road,2,1200,2,2,46.8
Super built-up  Area,Lakshminarayana Pura,3,1600,2,1,108
Super built-up  Area,Billekahalli,3,1935,3,2,110
Super built-up  Area,8th Phase JP Nagar,1,451,1,0,29.9
Super built-up  Area,Electronic City,3,1800,3,2,95
Super built-up  Area,Jalahalli,3,1400,3,0,77
Super built-up  Area,Hegde Nagar,3,1801,3,2,115
Built-up  Area,Mahadevpura,2,1451,2,,90
Plot  Area,Anekal,2,1200,1,1,36
Super built-up  Area,Begur Road,2,1160,2,2,44
Built-up  Area,Kengeri,2,1000,2,1,25
Super built-up  Area,Kanakpura Road,2,950,2,1,40
Built-up  Area,"Hoodi Circle, ",3,1629,3,2,79
Built-up  Area,Vijayanagar,3,1580,2,0,134
Super built-up  Area,Vijayanagar,3,1826,3,2,121
Built-up  Area,7th Phase JP Nagar,2,1245,2,1,94
Super built-up  Area,Raja Rajeshwari Nagar,2,1145,2,2,45.79
Super built-up  Area,Sompura,2,825,2,1,33
Super built-up  Area,Yeshwanthpur,3,1693,3,3,108
Super built-up  Area,Electronics City Phase 1,2,1113.27,2,2,53
Built-up  Area,Ashirvad Colony,2,1460,2,1,58
Built-up  Area,Doddathoguru,2,1050,2,1,32
Built-up  Area,Dodda Nekkundi,2,1260,2,2,55
Super built-up  Area,K N Extension,6,700,3,,120
Built-up  Area,Hosur Road,2,1656,2,1,120
Super built-up  Area,Chandapura,3,1208,3,1,45
Super built-up  Area,Whitefield,3,1910,3,2,161
Super built-up  Area,Whitefield,4,3252,4,1,230
Plot  Area,Battarahalli,2,1200,2,1,65
Super built-up  Area,Gokula Extension,4,1200,4,1,175
Super built-up  Area,7th Phase JP Nagar,2,1175,2,1,82
Plot  Area,Kamakshipalya,2,1000,2,0,165
Plot  Area,Bannerghatta Road,4,1200,2,0,125
Super built-up  Area,Rajaji Nagar,3,2390,3,2,410
Super built-up  Area,Rajaji Nagar,7,12000,6,3,2200
Plot  Area,Sultan Palaya,2,550,1,1,62
Super built-up  Area,Kengeri,1,34.46,1,0,18.5
Super built-up  Area,Sanne Amanikere,2,1185,2,,38
Super built-up  Area,Kengeri,2,750,2,1,38
Plot  Area,Mahalakshmi Layout,6,1200,7,3,250
Super built-up  Area,Kanakpura Road,3,1550,3,3,64.5
Built-up  Area,Amco Colony,3,1760,3,2,88
Super built-up  Area,Billekahalli,2,1125,2,2,62
Plot  Area,Nagarbhavi,3,1350,3,2,150
Plot  Area,Anandapura,2,1000,2,1,55
Built-up  Area,Bommasandra Industrial Area,2,1090,2,2,31.48
Plot  Area,TC Palaya,2,1200,2,0,60
Super built-up  Area,Budigere,3,1991,4,2,103
Super built-up  Area,Bommasandra,2,1060,2,1,26.5
Super built-up  Area,Ambalipura,2,1105,2,1,75
Built-up  Area,Hoodi,2,985,2,2,67
Plot  Area,Chandapura,6,1533,5,3,85
Super built-up  Area,Balagere,3,1590,3,2,79
Super built-up  Area,CV Raman Nagar,2,1120,2,2,55
Super built-up  Area,Samethanahalli,2,1069,2,1,55
Super built-up  Area,Marathahalli,3,1933,3,2,140
Built-up  Area,Hosur Road,2,1194,2,0,69
Super built-up  Area,Brookefield,2,1150,2,3,69
Super built-up  Area,Yelenahalli,2,1240,2,2,47.12
Super built-up  Area,Raja Rajeshwari Nagar,2,1419,2,2,48.1
Plot  Area,7th Phase JP Nagar,8,1200,8,,250
Super built-up  Area,Richmond Town,3,2150,4,,240
Super built-up  Area,Suddaguntepalya,3,1450,3,2,55
Super built-up  Area,Udayapur Village,3,1630,3,2,68.29
Super built-up  Area,Dasanapura,2,708,1,1,40
Plot  Area,Kasavanhalli,3,1000,4,3,110
Plot  Area,Whitefield,4,11890,4,3,700
Super built-up  Area,Bellandur,2,1250,2,1,76
Super built-up  Area,7th Phase JP Nagar,3,1400,2,1,95
Super built-up  Area,Sarjapur  Road,3,1670,2,3,57
Super built-up  Area,Ardendale,3,1750,3,2,100
Super built-up  Area,Vittasandra,2,1404,2,1,71
Super built-up  Area,Hoodi,3,1715,2,2,95
Built-up  Area,Electronic City,1,630,1,1,34.65
Super built-up  Area,Harlur,3,1752.12,3,2,135
Super built-up  Area,Hulimavu,3,1650,3,2,78
Super built-up  Area,Raja Rajeshwari Nagar,2,1295,2,1,55.47
Plot  Area,Giri Nagar,3,1800,3,2,252
Super built-up  Area,Sarjapur  Road,2,1346,2,1,74.03
Plot  Area,Thippasandra,4,1200,4,2,200
Super built-up  Area,Hormavu,2,1150,2,2,55
Built-up  Area,Chikkabidarakallu,4,3309,4,3,325
Super built-up  Area,Chandapura,3,1190,2,2,30.35
Super built-up  Area,AECS Layout,3,1620,3,2,98
Super built-up  Area,Marathahalli,2,950,2,1,46.96
Super built-up  Area,1 Giri Nagar,11,5000,9,3,360
Super built-up  Area,Harlur,3,2450,3,0,120
Super built-up  Area,Electronic City Phase II,3,1220,2,1,35.23
Super built-up  Area,Hoysalanagar,2,850,2,1,30
Built-up  Area,Padmanabhanagar,2,1020,2,2,63
Built-up  Area,Chikkalasandra,2,1100,2,2,50
Super built-up  Area,Defence Colony,2,1150,2,2,126
Super built-up  Area,Hebbal,3,1760,2,2,130
Super built-up  Area,Ambalipura,3,1800,3,3,110
Super built-up  Area,Akshaya Nagar,2,1070,2,1,54
Plot  Area,2nd Stage Nagarbhavi,4,1500,4,2,220
Plot  Area,Vidyaranyapura,2,1440,2,0,95
Super built-up  Area,Amruthahalli,2,900,2,1,40
Built-up  Area,ITI Employees Layout,4,1200,4,1,230
Super built-up  Area,Whitefield,2,1130,2,1,42.16
Super built-up  Area,Koramangala,2,1320,2,1,165
Super built-up  Area,Kodigehalli,2,1270,2,1,98
Built-up  Area,Patelappa Layout,2,1200,2,1,62
Super built-up  Area,Ring Road Nagarbhavi,4,4800,4,,235
Super built-up  Area,NS Palya,2,1200,2,1,74
Super built-up  Area,Subramanyapura,2,929,2,0,50.17
Built-up  Area,RMV 2nd Stage,4,1150,4,2,260
Plot  Area,Basavangudi,4,1125,4,3,180
Plot  Area,Kenchenahalli,5,500,3,2,65
Plot  Area,3rd Block Hrbr Layout,5,1200,5,2,190
Super built-up  Area,KUDLU MAIN ROAD,3,1464,3,2,56
Super built-up  Area,7th Phase JP Nagar,4,3600,4,3,400
Plot  Area,Bank Avenue,4,2000,4,2,99
Super built-up  Area,Chikkalasandra,2,1208,2,1,49
Super built-up  Area,Hebbal Kempapura,2,1130,2,2,60
Super built-up  Area,Surabhi Layout,3,1753,3,2,120
Super built-up  Area,Old Madras Road,5,4500,7,3,337
Plot  Area,Banjara Layout,3,600,3,2,58
Super built-up  Area,Hoodi,2,1196,2,2,94.42
Built-up  Area,5th Phase JP Nagar,2,1150,3,3,52.5
Super built-up  Area,Electronic City,2,1128,2,1,63
